Model,Dimension,Group,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_positives_oov,dropped_negatives_oov,neg_ratio,neg_sampling,seed
TriModel,100,St,0.6316669426897263,0.046852357755357295,0.13023255813953488,2.9536538124084473,0.09859154929577464,0.1917808219178082,73,3474,338,636,10,degree_matched,42
TriModel,100,Sdt,0.4704449288370304,0.05559020916552791,0.2,1.4904327392578125,0.2222222222222222,0.18181818181818182,11,709,90,301,10,degree_matched,42
TriModel,200,Sp,0.8090103313187189,0.41899007659497906,0.4364588291289862,3.3954014778137207,0.4235565819861432,0.45017182130584193,2037,18888,0,1482,10,degree_matched,42
TriModel,200,Sd,0.7154425260477402,0.2645322038382054,0.28039317123642005,1.6089487075805664,0.2336206896551724,0.35058214747736094,773,7283,175,2197,10,degree_matched,42
TriModel,200,St,0.7805577243081678,0.1815655521699059,0.26785714285714285,4.802897930145264,0.38461538461538464,0.2054794520547945,73,3474,338,636,10,degree_matched,42
TriModel,200,Sdt,0.6373894088985768,0.05375152697852499,0.2,2.0213446617126465,0.13793103448275862,0.36363636363636365,11,709,90,301,10,degree_matched,42
TriModel,300,Sp,0.8406036009595461,0.46555976398952154,0.48704663212435234,1.7215328216552734,0.46808510638297873,0.5076092292587138,2037,18888,0,1482,10,degree_matched,42
TriModel,300,Sd,0.7277728940084291,0.2969880917403946,0.306601683650864,-0.12753838300704956,0.23315363881401618,0.4476067270375162,773,7283,175,2197,10,degree_matched,42
TriModel,300,St,0.7551320573181598,0.13751933544423378,0.25510204081632654,1.5845695734024048,0.2032520325203252,0.3424657534246575,73,3474,338,636,10,degree_matched,42
TriModel,300,Sdt,0.642133606872676,0.030421495625054973,0.08695652173913043,0.4003573954105377,0.08333333333333333,0.09090909090909091,11,709,90,301,10,degree_matched,42
