epoch,train_loss,valid_loss
1,0.727896066449529,0.5362746119499207
2,0.4207759042866796,0.4175560474395752
3,0.29751173176353785,0.3397202491760254
4,0.22494279609309684,0.31150856614112854
5,0.17655826954961681,0.2722565829753876
6,0.14563993938106426,0.2525218427181244
7,0.12254173104925979,0.2370675504207611
8,0.10624660326422547,0.2257082462310791
9,0.09303307908473255,0.21816596388816833
10,0.08371336262324731,0.20898668467998505
11,0.07543897141012357,0.208094984292984
12,0.06793454921931671,0.1979989856481552
13,0.06245198023083399,0.19463220238685608
14,0.05664786208662198,0.1903245747089386
15,0.05077981991733579,0.18205854296684265
16,0.04709714584106164,0.18007111549377441
17,0.04393075750939709,0.17432713508605957
18,0.03997671727439482,0.1705268770456314
19,0.037582825427111104,0.16739247739315033
20,0.03512891758528116,0.16208037734031677
21,0.032970600888776264,0.15817798674106598
22,0.030901509665435166,0.16042667627334595
23,0.028495747696527903,0.1594715565443039
24,0.02701908816322148,0.1506195068359375
25,0.024831557204183057,0.1532067060470581
26,0.02352384930784754,0.14976446330547333
27,0.022362918432185547,0.14949391782283783
28,0.02059901858137237,0.15410888195037842
29,0.019398882073892964,0.143253356218338
30,0.018982025097867998,0.1474486142396927
31,0.01806126995909986,0.1406688690185547
32,0.017118806595639358,0.13729852437973022
33,0.01624854261444198,0.14531216025352478
34,0.015985530117700854,0.1369880586862564
35,0.014995134891205126,0.13604973256587982
36,0.014497808589459323,0.13632167875766754
37,0.013698345814034235,0.13683539628982544
38,0.013367594058940307,0.13380445539951324
39,0.013038927193382661,0.13684289157390594
40,0.012566944128639406,0.131704643368721
41,0.011886330388432785,0.13145364820957184
42,0.011610899743684334,0.13077911734580994
43,0.01122008759876807,0.12635484337806702
44,0.011160013607616048,0.12533171474933624
45,0.010266785409381921,0.12801337242126465
46,0.009680642779889724,0.13058331608772278
47,0.009616375398292815,0.13350747525691986
48,0.009682947233748093,0.12166651338338852
49,0.009021865023072246,0.12258739024400711
50,0.008965135786494762,0.12533383071422577
51,0.009413593227593161,0.126087948679924
52,0.009247795651874524,0.12336894869804382
53,0.008463368697507348,0.1252324879169464
54,0.00862621647982503,0.1228618174791336
55,0.007949436974557612,0.12030038982629776
56,0.007382467730815034,0.1229785680770874
57,0.006610099936453558,0.11811228841543198
58,0.00632716601433085,0.12236039340496063
59,0.005813424281186337,0.11829216778278351
60,0.005982935616223932,0.11780878901481628
61,0.005610902234241902,0.11964429914951324
62,0.0050832294731689015,0.12004110217094421
63,0.005139000218013208,0.11330609023571014
64,0.005057484775835233,0.11648271232843399
65,0.004746584637130765,0.11312545835971832
66,0.004851204792051007,0.11440546810626984
67,0.004612336565050289,0.11313077807426453
68,0.00474168552527968,0.11552409082651138
69,0.004116159682865623,0.11474019289016724
70,0.004456622686853512,0.1120423823595047
71,0.004189641248407982,0.11444529891014099
72,0.004266269297318922,0.11657290160655975
73,0.004467846544312058,0.11474398523569107
74,0.0038298827281101145,0.1145370677113533
75,0.0038896072655916214,0.11242801696062088
76,0.0036713410396691706,0.11925593763589859
77,0.0037773378769592417,0.11430204659700394
78,0.003673603175301775,0.11386193335056305
79,0.003496704556101518,0.11373685300350189
80,0.003242374960627916,0.11636393517255783
