Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
ComplEx,100,0.7975785199134016,0.4843351769108124,0.5074294205052006,-0.6576777696609497,0.5485943775100401,0.4720110573600553,2894,30309,603,10,degree_matched,42
ComplEx,200,0.8012227170031194,0.4981623833293684,0.5217055759212811,-1.0157427787780762,0.5906509392747925,0.4671734623358673,2894,30309,603,10,degree_matched,42
ComplEx,300,0.8083359343931429,0.5299779160893955,0.5377821393523062,-1.2362972497940063,0.6224443434802363,0.47339322736696615,2894,30309,603,10,degree_matched,42
