epoch,train_loss,valid_loss
1,0.6773922250425215,0.4514276087284088
2,0.3392169449826796,0.32070085406303406
3,0.22007055569895737,0.2429884821176529
4,0.15151136406034016,0.20851977169513702
5,0.11397469075892469,0.1767159402370453
6,0.09021289568903634,0.16112469136714935
7,0.07371289299117575,0.14387387037277222
8,0.06302383199012537,0.14267805218696594
9,0.05585352229557449,0.13270287215709686
10,0.04914916183451097,0.13277877867221832
11,0.04677956244445962,0.12226875871419907
12,0.0422091735057908,0.12371805310249329
13,0.040533067819347485,0.11774507164955139
14,0.03725726014043359,0.11521559208631516
15,0.03515119882796308,0.11506745964288712
16,0.03368142752392258,0.11083627492189407
17,0.03143623777457493,0.11231447011232376
18,0.030247369982141385,0.10455702990293503
19,0.028617660427908247,0.10750621557235718
20,0.027340370933893774,0.10813150554895401
21,0.026513496668433115,0.10594119876623154
22,0.02516407963129685,0.10327573865652084
23,0.024192226749154732,0.10285618901252747
24,0.022674706054302,0.10420510172843933
25,0.021996788707354085,0.1015450730919838
26,0.020821716643119458,0.09526124596595764
27,0.019994568662624137,0.09955812990665436
28,0.01946718729496431,0.0989629253745079
29,0.018684702643977223,0.09605085849761963
30,0.01766634859117887,0.09219388663768768
31,0.017608628628386868,0.09465915709733963
32,0.016847639545637498,0.0928768664598465
33,0.015788697858722948,0.09795545041561127
34,0.01590070425928068,0.09271935373544693
35,0.015012973289695575,0.09221711754798889
36,0.01406694060231713,0.08982374519109726
37,0.014099759585726604,0.08623619377613068
38,0.01317382628004328,0.08930761367082596
39,0.01247944731077702,0.0880139172077179
40,0.011927260742556277,0.08842901885509491
41,0.011847761968860952,0.08786376565694809
42,0.011267705867401988,0.08845125138759613
43,0.010941280521077217,0.08705224096775055
44,0.010114196962643441,0.08151668310165405
45,0.009578339675133177,0.08499080687761307
46,0.009157044143020678,0.0817786306142807
47,0.008684465185933405,0.08161240071058273
48,0.008527763207985772,0.08119483292102814
49,0.008058741387221024,0.08033447712659836
50,0.007487644180119466,0.08076857775449753
51,0.007067924754010688,0.08061989396810532
52,0.007394586214058691,0.0769832655787468
53,0.00644353856902114,0.07860130071640015
54,0.006352738879299421,0.0797533467411995
55,0.006436807994576667,0.07869432866573334
56,0.006331969695768768,0.07749702781438828
57,0.005927859329812818,0.07799053937196732
58,0.006117856431511238,0.0753193199634552
59,0.0057394171281041,0.07832950353622437
60,0.005426211892325672,0.07779992371797562
61,0.0054513594309846276,0.07993077486753464
62,0.0057783598790494654,0.07726428657770157
63,0.0054272108999409265,0.07867100834846497
64,0.005015828492615721,0.07279112935066223
65,0.005080924630701113,0.07634656131267548
66,0.004966624054334147,0.07574743032455444
67,0.004919977738059682,0.0754127949476242
68,0.004916625532904546,0.07611240446567535
69,0.0041559352304974045,0.07793838530778885
70,0.004486002182092169,0.07335539907217026
71,0.004429992683660641,0.07395356148481369
72,0.004182618037670207,0.07780909538269043
73,0.0044782334978846336,0.0733751505613327
74,0.00445056661105842,0.07123856246471405
75,0.0037819146841978853,0.07350154966115952
76,0.004021188465328954,0.07391198724508286
77,0.003970133053581063,0.07680101692676544
78,0.003528395057957378,0.07260091602802277
79,0.0035241359188187896,0.07381922751665115
80,0.003390849983359841,0.07050022482872009
81,0.003336465033106238,0.07071530818939209
82,0.003275681957066488,0.07452119141817093
83,0.003280310650362814,0.07231611013412476
84,0.003157605055264003,0.07424898445606232
85,0.0029244331589384043,0.07363492250442505
86,0.003240187391102743,0.07470271736383438
87,0.0032715723387521808,0.06930037587881088
88,0.002969742310400918,0.06853669136762619
89,0.0030776462484177927,0.07112418860197067
90,0.0029010824296328663,0.07243222743272781
91,0.002884695286319839,0.07109382748603821
92,0.00289197457726482,0.07396513968706131
93,0.002547729492401905,0.07234999537467957
94,0.002970657070174063,0.0690111517906189
95,0.002795984037220478,0.07185045629739761
96,0.002656653566996185,0.07166711986064911
97,0.0028820394156433694,0.0717419981956482
98,0.0027764248293187977,0.07315441966056824
