Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TransE,100,0.6277149495191465,0.20941457870396624,0.24857811977249916,-11.167723655700684,0.24092088197146563,0.25673807878369037,2894,30309,603,10,degree_matched,42
TransE,200,0.6446843024792118,0.2437360974510745,0.2809005973349671,-15.246670722961426,0.25226960110041263,0.3168624740843124,2894,30309,603,10,degree_matched,42
TransE,300,0.6294861441321631,0.21226385459999136,0.25605182407091714,-18.98259925842285,0.25269179004037684,0.25950241879751207,2894,30309,603,10,degree_matched,42
ComplEx,100,0.7782086218925031,0.4147151463419519,0.44257147578912576,-0.09991532564163208,0.4241368387709851,0.46268140981340705,2894,30309,603,10,degree_matched,42
ComplEx,200,0.7879732443917948,0.44715066880597504,0.4752727272727273,-0.13797660171985626,0.5015349194167307,0.45162404975812026,2894,30309,603,10,degree_matched,42
ComplEx,300,0.7953514358431583,0.46523285748169313,0.4907539118065434,-0.5933437347412109,0.5054945054945055,0.4768486523842433,2894,30309,603,10,degree_matched,42
TriModel,100,0.6957374860179497,0.22665290995368678,0.3093837101269743,2.772805690765381,0.2803030303030303,0.3451969592259848,2894,30309,603,10,degree_matched,42
TriModel,200,0.7786522499435269,0.3652014807269457,0.39090909090909093,2.8228790760040283,0.39561217268223636,0.3863165169315826,2894,30309,603,10,degree_matched,42
TriModel,300,0.7926151927475955,0.4255327507364046,0.45887899423782086,1.446692705154419,0.46381927285563007,0.4540428472702142,2894,30309,603,10,degree_matched,42
