Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TransE,100,0.685702226553533,0.287293717188505,0.3089430894308943,-11.44503402709961,0.2971592722630067,0.32170006910850035,2894,28525,603,10,random,42
TransE,200,0.7154693169766455,0.35716564856079264,0.36739562624254474,-15.203558921813965,0.43258426966292135,0.31928127159640635,2894,28525,603,10,random,42
TransE,300,0.7312748125863479,0.38246830440829327,0.3837817638266069,-18.683795928955078,0.4178193653376729,0.3548721492743607,2894,28525,603,10,random,42
ComplEx,100,0.8202612616268541,0.544537817720783,0.5359552727973781,-0.2154940366744995,0.6061927605756651,0.48030407740152037,2894,28525,603,10,random,42
ComplEx,200,0.8236186567512221,0.5752719295018949,0.5627811860940696,-0.43732893466949463,0.6893787575150301,0.4754664823773324,2894,28525,603,10,random,42
ComplEx,300,0.8324023955998296,0.6013948912561414,0.586255828096493,-0.8100783824920654,0.7091711623344776,0.4996544574982723,2894,28525,603,10,random,42
TriModel,100,0.7351078873937253,0.3736823603229895,0.40062905445252606,2.6270012855529785,0.46466028271773824,0.35210780926053903,2894,28525,603,10,random,42
TriModel,200,0.8257346730247294,0.4532931269051678,0.46802429439085386,2.668196201324463,0.4844674556213018,0.4526606772633034,2894,28525,603,10,random,42
TriModel,300,0.8355826524944776,0.531481973351972,0.526840490797546,1.2200827598571777,0.5917312661498708,0.474775397373877,2894,28525,603,10,random,42
