Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TriModel,100,0.6603187696557296,0.21004757884264336,0.2864516129032258,-0.3459266126155853,0.26860254083484575,0.30684174153420873,2894,30309,603,10,degree_matched,42
TriModel,200,0.752796296054349,0.3504413817485192,0.39800032252862444,1.3891611099243164,0.37314786815845175,0.42639944713199723,2894,30309,603,10,degree_matched,42
TriModel,300,0.761336978260065,0.3934952856185202,0.4332220367278798,-0.38590842485427856,0.5468914646996839,0.3586731167933656,2894,30309,603,10,degree_matched,42
