Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TransE,100,0.685702226553533,0.287293717188505,0.3089430894308943,-11.44503402709961,0.2971592722630067,0.32170006910850035,2894,28525,603,10,random,42
TransE,200,0.7154693169766455,0.35716564856079264,0.36739562624254474,-15.203558921813965,0.43258426966292135,0.31928127159640635,2894,28525,603,10,random,42
TransE,300,0.7312748125863479,0.38246830440829327,0.3837817638266069,-18.683795928955078,0.4178193653376729,0.3548721492743607,2894,28525,603,10,random,42
