epoch,train_loss,valid_loss
1,0.6810149160220469,0.6431995034217834
2,0.5013743576814802,0.605991542339325
3,0.31669864808912757,0.5003262162208557
4,0.2200597758344609,0.4195866286754608
5,0.1588335128353654,0.3615511953830719
6,0.11818211204070839,0.3361780643463135
7,0.09010478344967039,0.3330352008342743
8,0.07040929277058985,0.3409031629562378
9,0.05746402511064955,0.3649768829345703
10,0.048705358996236923,0.39079388976097107
11,0.041968237849877035,0.4137336015701294
12,0.03776145369993697,0.4357144832611084
13,0.034716922495004944,0.45511746406555176
14,0.032117672679986026,0.4711582660675049
15,0.030701676933027857,0.480751097202301
16,0.029858199075507602,0.48884350061416626
17,0.02901707235857737,0.4984643757343292
