Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TransE,100,0.6337180507713651,0.19097816263921308,0.2398852223816356,-11.499513626098633,0.20510304219823355,0.28887353144436767,2894,30309,603,10,degree_matched,42
TransE,200,0.648867824731686,0.21382465583826904,0.26511032938919094,-15.809492111206055,0.2467261904761905,0.28645473393227366,2894,30309,603,10,degree_matched,42
TransE,300,0.6313670529642357,0.1863191926015771,0.23417721518987342,-19.408721923828125,0.21599532983070635,0.25570145127850724,2894,30309,603,10,degree_matched,42
ComplEx,100,0.7975785199134016,0.4843351769108124,0.5074294205052006,-0.6576777696609497,0.5485943775100401,0.4720110573600553,2894,30309,603,10,degree_matched,42
ComplEx,200,0.8012227170031194,0.4981623833293684,0.5217055759212811,-1.0157427787780762,0.5906509392747925,0.4671734623358673,2894,30309,603,10,degree_matched,42
ComplEx,300,0.8083359343931429,0.5299779160893955,0.5377821393523062,-1.2362972497940063,0.6224443434802363,0.47339322736696615,2894,30309,603,10,degree_matched,42
TriModel,100,0.6603187696557296,0.21004757884264336,0.2864516129032258,-0.3459266126155853,0.26860254083484575,0.30684174153420873,2894,30309,603,10,degree_matched,42
TriModel,200,0.752796296054349,0.3504413817485192,0.39800032252862444,1.3891611099243164,0.37314786815845175,0.42639944713199723,2894,30309,603,10,degree_matched,42
TriModel,300,0.761336978260065,0.3934952856185202,0.4332220367278798,-0.38590842485427856,0.5468914646996839,0.3586731167933656,2894,30309,603,10,degree_matched,42
