Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TransE,100,0.6277149495191465,0.20941457870396624,0.24857811977249916,-11.167723655700684,0.24092088197146563,0.25673807878369037,2894,30309,603,10,degree_matched,42
TransE,200,0.6446843024792118,0.2437360974510745,0.2809005973349671,-15.246670722961426,0.25226960110041263,0.3168624740843124,2894,30309,603,10,degree_matched,42
TransE,300,0.6294861441321631,0.21226385459999136,0.25605182407091714,-18.98259925842285,0.25269179004037684,0.25950241879751207,2894,30309,603,10,degree_matched,42
