Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
TransE,100,0.6337180507713651,0.19097816263921308,0.2398852223816356,-11.499513626098633,0.20510304219823355,0.28887353144436767,2894,30309,603,10,degree_matched,42
TransE,200,0.648867824731686,0.21382465583826904,0.26511032938919094,-15.809492111206055,0.2467261904761905,0.28645473393227366,2894,30309,603,10,degree_matched,42
TransE,300,0.6313670529642357,0.1863191926015771,0.23417721518987342,-19.408721923828125,0.21599532983070635,0.25570145127850724,2894,30309,603,10,degree_matched,42
