dimension,MRR,Hits@1,Hits@3,Hits@10
100,0.4447597415687935,0.38933347235617655,0.4710267705862419,0.5403383468446159
200,0.4329338457987241,0.3590829705706019,0.47677449625941665,0.5559653833120455
300,0.347522742870516,0.22584260876365247,0.44047650079503686,0.5206970257800485
