Model,Dimension,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_test_positives,neg_ratio,neg_sampling,seed
ComplEx,100,0.7782086218925031,0.4147151463419519,0.44257147578912576,-0.09991532564163208,0.4241368387709851,0.46268140981340705,2894,30309,603,10,degree_matched,42
ComplEx,200,0.7879732443917948,0.44715066880597504,0.4752727272727273,-0.13797660171985626,0.5015349194167307,0.45162404975812026,2894,30309,603,10,degree_matched,42
ComplEx,300,0.7953514358431583,0.46523285748169313,0.4907539118065434,-0.5933437347412109,0.5054945054945055,0.4768486523842433,2894,30309,603,10,degree_matched,42
