epoch,train_loss,valid_loss
1,0.6884605798789923,0.6687530875205994
2,0.5830978476743904,0.6373624205589294
3,0.40793354948647587,0.5878028273582458
4,0.3046876367905157,0.5085869431495667
5,0.23736903178606103,0.4373335838317871
6,0.19056041270708865,0.38681653141975403
7,0.1566479286487154,0.35190391540527344
8,0.13179014301557335,0.32818615436553955
9,0.11310691809911522,0.3205040693283081
10,0.09846172454974635,0.31755372881889343
11,0.08690421872859379,0.31827542185783386
12,0.07772691692594144,0.3294321894645691
13,0.07067522283295076,0.332352876663208
14,0.06481176614761353,0.3443116247653961
15,0.060265595642782804,0.35431531071662903
16,0.05663014270311637,0.3677046597003937
17,0.05321044080870615,0.3755265474319458
18,0.051827082718662223,0.38089901208877563
19,0.05026856043355928,0.3845054805278778
20,0.049095342056356746,0.39094677567481995
